method,W,Nxy,k,h,Nt,dt,omega,Ns,ell,ndofs,max_L2_error,max_H1_error,rms_L2_error,rms_H1_error,setup_time_sec,spatial_setup_time_sec,rom_specific_setup_time_sec,solve_time_sec,snapshot_time_sec,total_time_sec,snapshot_Nt,snapshot_dt,snapshot_omega,pod_tail,scheme,order_L2,order_H1
DG-POD,M,4,2,0.25,20000,0.0005,0.5,1000.0,5.0,384,0.00021341633860354634,0.0068952530544401916,0.00015431248717040537,0.004985683808199623,0.07949799596099183,0.005278430006001145,0.07421956595499068,0.15506147651467472,0.5914657359826379,0.8260252084583044,1000.0,0.01,0.5,4.536534696711065e-06,Crank-Nicolson,,
DG-POD,A,4,2,0.25,20000,0.0005,0.5,1000.0,5.0,384,0.00021341006414609816,0.0068952511313495205,0.00015430766493955086,0.004985681877768308,0.09903897502226755,0.005278430006001145,0.0937605450162664,0.1536503341048956,0.5914657359826379,0.844155045109801,1000.0,0.01,0.5,2.4856008265785582e-05,Crank-Nicolson,,
DG-FOM,-,8,2,0.125,20000,0.0005,0.5,,,1536,2.6917187915519408e-05,0.0017401281491653646,1.946264420568239e-05,0.0012582176258688312,0.012431392970029265,0.012431392970029265,,2.9247377124847844,0.0,2.9371691054548137,,,,,Crank-Nicolson,2.9868542161516904,1.9864070471733466
DG-POD,I,8,2,0.125,20000,0.0005,0.5,1000.0,5.0,1536,2.693708590363834e-05,0.0017401335074929219,1.9476948013332093e-05,0.00125822134632862,0.09510601795045659,0.0073116899584420025,0.08779432799201459,0.21799569600261748,1.1125739960116334,1.4256757099647075,1000.0,0.01,0.5,0.0001319688766732123,Crank-Nicolson,2.9858789367306944,1.9864035024912123
DG-POD,M,8,2,0.125,20000,0.0005,0.5,1000.0,5.0,1536,2.6936909533789986e-05,0.001740133656035505,1.947683947514404e-05,0.001258221444908418,0.08338664297480136,0.0073116899584420025,0.07607495301635936,0.22886043600738049,1.1125739960116334,1.4248210749938153,1000.0,0.01,0.5,4.612376427737256e-06,Crank-Nicolson,2.986014384100229,1.9864053786112013
DG-POD,A,8,2,0.125,20000,0.0005,0.5,1000.0,5.0,1536,2.693212500026293e-05,0.0017401322232529692,1.9473055599941776e-05,0.0012582203908998932,0.09130575595190749,0.0073116899584420025,0.08399406599346548,0.23464420466916636,1.1125739960116334,1.4385239566327073,1000.0,0.01,0.5,2.5444799532754628e-05,Crank-Nicolson,2.986228242362065,1.9864061641220445
DG-FOM,-,16,2,0.0625,20000,0.0005,0.5,,,6144,3.372261272550453e-06,0.000436046186474261,2.438315690646057e-06,0.0003152876962957861,0.06277011695783585,0.06277011695783585,,25.00928585388465,0.0,25.072055970842484,,,,,Crank-Nicolson,2.9967394756635515,1.9966406951337594
DG-POD,I,16,2,0.0625,20000,0.0005,0.5,1000.0,5.0,6144,3.3968547397106952e-06,0.00043605064910716196,2.4556501315405545e-06,0.0003152908769971315,0.133694208052475,0.015366027015261352,0.11832818103721365,0.9839010834111832,3.8572622389765456,4.974857530440204,1000.0,0.01,0.5,0.00025830018132759816,Crank-Nicolson,2.9873223557906896,1.996630372660873
DG-POD,M,16,2,0.0625,20000,0.0005,0.5,1000.0,5.0,6144,3.3966713849560994e-06,0.00043605064571295256,2.4555495482606606e-06,0.0003152908776982527,0.1413578960346058,0.015366027015261352,0.12599186901934445,0.9883268947014585,3.8572622389765456,4.98694702971261,1000.0,0.01,0.5,4.615073984556341e-06,Crank-Nicolson,2.987390785362556,1.996630507043194
DG-POD,A,16,2,0.0625,20000,0.0005,0.5,1000.0,5.0,6144,3.387422667410803e-06,0.0004360490483144266,2.448732301293037e-06,0.0003152896818044445,0.16961279202951118,0.015366027015261352,0.15424676501424983,0.9784536678926088,3.8572622389765456,5.005328698898666,1000.0,0.01,0.5,2.5680875402388028e-05,Crank-Nicolson,2.991068149753491,1.9966346042450769
DG-FOM,-,32,2,0.03125,20000,0.0005,0.5,,,24576,4.2183650554239506e-07,0.00010907484363604521,3.0506133477656926e-07,7.88676923809809e-05,0.4683322100318037,0.4683322100318037,,190.1919808749226,0.0,190.6603130849544,,,,,Crank-Nicolson,2.9989604604057205,1.9991625493394707
DG-POD,I,32,2,0.03125,20000,0.0005,0.5,1000.0,5.0,24576,5.363171013801691e-07,0.00010908801059269935,3.847796215649616e-07,7.887717839097704e-05,0.24964126903796569,0.051420108997263014,0.19822116004070267,4.503272899775766,21.342694208025932,26.095608376839664,1000.0,0.01,0.5,0.0005136685908903788,Crank-Nicolson,2.663041363332302,1.9990031700077255
DG-POD,M,32,2,0.03125,20000,0.0005,0.5,1000.0,5.0,24576,5.361381522446633e-07,0.00010908799973059668,3.8469623254887755e-07,7.88771744223024e-05,0.8158094969694503,0.051420108997263014,0.7643893879721873,4.664705241099,21.342694208025932,26.823208946094383,1000.0,0.01,0.5,4.622047977192451e-06,Crank-Nicolson,2.6634449419031268,1.999003302429739
DG-POD,A,32,2,0.03125,20000,0.0005,0.5,1000.0,5.0,24576,4.878515895099357e-07,0.00010908272898482064,3.486858398213387e-07,7.887318716767376e-05,0.5515808339696378,0.051420108997263014,0.5001607249723747,3.4138120337738656,21.342694208025932,25.308087075769436,1000.0,0.01,0.5,2.6255889669366523e-05,Crank-Nicolson,2.7956737771200273,1.9990677249469724
