time,DG-FOM,DG-POD ell=10,DG-POD ell=20,DG-POD ell=50,DG-POD ell=100,DG-POD ell=200
4.250000000000e-01,1.123916749871e-02,1.153927671967e-02,1.182066499780e-02,1.130645943943e-02,1.092872729203e-02,1.130792359294e-02
4.256250000000e-01,1.034734247787e-02,1.278702329564e-02,1.233455682706e-02,1.165832951752e-02,1.091540321989e-02,1.012927831028e-02
4.262500000000e-01,1.118498136026e-02,1.385943292631e-02,1.276467744829e-02,1.233534199765e-02,1.223667959568e-02,1.136742268421e-02
4.268750000000e-01,1.403661335578e-02,1.471482089845e-02,1.334251983790e-02,1.342339810291e-02,1.371250033854e-02,1.381243595871e-02
4.275000000000e-01,1.361702803251e-02,1.532991014200e-02,1.415400626395e-02,1.451502548694e-02,1.332839513255e-02,1.392612022619e-02
4.281250000000e-01,1.392021128854e-02,1.570237740847e-02,1.506834253682e-02,1.521555440275e-02,1.319702365355e-02,1.406390728787e-02
4.287500000000e-01,1.657387597466e-02,1.584945452060e-02,1.579635653807e-02,1.551017284465e-02,1.589512607112e-02,1.670988953536e-02
4.293750000000e-01,1.695920435054e-02,1.580317356597e-02,1.605260858686e-02,1.556605646805e-02,1.818189295513e-02,1.658840209902e-02
4.300000000000e-01,1.569688349850e-02,1.560356442316e-02,1.573209761259e-02,1.538830448811e-02,1.625135823291e-02,1.530370707714e-02
4.306250000000e-01,1.335009633535e-02,1.529149434508e-02,1.499757439598e-02,1.491747861906e-02,1.317812036845e-02,1.372279083044e-02
4.312500000000e-01,1.334656640541e-02,1.490280095088e-02,1.421806592686e-02,1.438494700761e-02,1.327838667667e-02,1.337150854688e-02
4.318750000000e-01,1.507693646901e-02,1.446493303595e-02,1.378075937058e-02,1.424665620581e-02,1.489451689004e-02,1.537700956660e-02
4.325000000000e-01,1.646713206793e-02,1.399659556524e-02,1.387268019447e-02,1.465117014429e-02,1.540219143706e-02,1.603163661921e-02
4.331250000000e-01,1.576294218162e-02,1.351008029564e-02,1.435348560475e-02,1.520773766625e-02,1.598053079208e-02,1.571032347038e-02
4.337500000000e-01,1.553458799223e-02,1.301525713926e-02,1.479951220825e-02,1.544040497815e-02,1.677604542669e-02,1.599634629480e-02
4.343750000000e-01,1.554763016318e-02,1.252377991758e-02,1.471092739595e-02,1.524039008338e-02,1.551988628742e-02,1.554646796052e-02
4.350000000000e-01,1.425869977059e-02,1.205202760981e-02,1.378406127857e-02,1.461905634103e-02,1.304116617085e-02,1.334087390546e-02
4.356250000000e-01,1.204997568258e-02,1.162166508164e-02,1.210828945287e-02,1.328094518047e-02,1.211515662473e-02,1.281106950715e-02
4.362500000000e-01,1.062721348510e-02,1.125737315012e-02,1.017659970899e-02,1.100213629388e-02,1.156875795460e-02,1.122559309777e-02
4.368750000000e-01,9.103649493432e-03,1.098209808707e-02,8.689017475552e-03,8.486529658870e-03,8.984285047040e-03,8.205620616267e-03
4.375000000000e-01,6.894896903047e-03,1.081090193546e-02,8.233798213241e-03,7.218924981780e-03,6.433935817640e-03,7.192681198623e-03
4.381250000000e-01,6.941017089117e-03,1.074496925070e-02,8.998271736507e-03,7.987464600788e-03,7.148130541748e-03,6.646215756479e-03
4.387500000000e-01,1.030180713364e-02,1.076741678308e-02,1.065343680310e-02,9.871905399150e-03,1.007380213262e-02,1.014585028590e-02
4.393750000000e-01,1.225445403565e-02,1.084222725649e-02,1.247553503885e-02,1.125873502280e-02,1.223006083218e-02,1.302198932259e-02
4.400000000000e-01,1.288233662083e-02,1.091695621711e-02,1.365316911857e-02,1.168897718593e-02,1.288714609322e-02,1.178020264512e-02
4.406250000000e-01,1.267547708917e-02,1.092899787954e-02,1.363732157215e-02,1.197576393507e-02,1.284720259019e-02,1.288248476132e-02
4.412500000000e-01,1.154188896410e-02,1.081434744011e-02,1.236990287912e-02,1.241834253867e-02,1.242404604240e-02,1.308662780152e-02
4.418750000000e-01,1.091858492006e-02,1.051716909225e-02,1.028537398851e-02,1.187222912921e-02,1.127653006357e-02,9.968006068162e-03
4.425000000000e-01,9.163502205134e-03,9.998227033770e-03,8.090051232709e-03,9.379507645328e-03,9.059770915269e-03,8.478757366540e-03
4.431250000000e-01,7.017603663284e-03,9.240429389086e-03,6.429828280653e-03,6.144822341131e-03,6.475036582999e-03,7.921552383153e-03
4.437500000000e-01,5.671297876631e-03,8.250335323791e-03,5.606714146463e-03,4.638334502906e-03,5.238347379879e-03,5.537902920278e-03
4.443750000000e-01,5.778333134151e-03,7.055349427344e-03,5.474448002395e-03,5.518970628484e-03,5.697482679849e-03,5.219351784274e-03
4.450000000000e-01,5.543932327281e-03,5.697274113169e-03,5.550753285699e-03,6.546103406971e-03,5.848970625630e-03,6.455364843019e-03
4.456250000000e-01,5.571470170278e-03,4.223690630812e-03,5.276808322063e-03,5.330939339948e-03,4.316617658390e-03,4.729430062816e-03
4.462500000000e-01,2.271692107168e-03,2.679105456788e-03,4.287247991661e-03,2.452082594813e-03,2.408405131081e-03,1.879595446005e-03
4.468750000000e-01,1.346667045973e-04,1.097821756342e-03,2.558501393125e-03,6.569752914071e-04,1.719513311042e-03,1.472476720797e-03
4.475000000000e-01,2.235562643264e-03,-4.999307912361e-04,3.738179101189e-04,1.103647497009e-03,1.697158850910e-03,2.006441672863e-03
4.481250000000e-01,1.435911178809e-03,-2.107851088428e-03,-1.859336457574e-03,1.729611188033e-03,9.146135557873e-04,3.215885112749e-04
4.487500000000e-01,-1.746847152953e-03,-3.729595514239e-03,-3.831124768556e-03,-2.196257200231e-05,-9.470640022969e-04,-8.240984376206e-04
4.493750000000e-01,-2.460750839002e-03,-5.372063590461e-03,-5.470342954659e-03,-3.866533995084e-03,-3.474434057544e-03,-2.761422306080e-03
4.500000000000e-01,-6.293482982623e-03,-7.037658095543e-03,-6.936690495076e-03,-7.248832017781e-03,-6.384389471086e-03,-6.685365252620e-03
4.506250000000e-01,-1.003646417743e-02,-8.717466273635e-03,-8.481559544807e-03,-8.866897929641e-03,-9.045808537985e-03,-8.752408001091e-03
